,Calories,Density,Frequency,Driving_afterwards,Happiness_score,Belgian,Special,Pct_alcohol,Pct_protein,Pct_yeast,pct_hop,Score_others,Sugar,Water_quality,Acid,Score
0,12.0,0.9916,Almost_never,0,3.7,no,N,6.4,12.9,1.1,13.8,5.8,1.65,0.53,0.0,02.Good
1,55.0,0.9965,Very Often,0,6.9,no,N,9.3,10.9,1.6,7.2,5.8,1.5,0.73,0.39,02.Good
2,118.0,0.9908,Very Often,0,8.3,no,Y,7.1,11.2,0.78,5.6,2.6,2.8,0.59,0.26,02.Good
3,151.0,0.9926,Regular,0,7.0,yes,Y,6.7,12.0,0.62,6.2,5.0,4.9,0.82,0.31,03.Excellent
4,228.0,0.9957,Often,0,2.9,no,Y,7.0,9.4,0.96,6.4,4.0,6.2,0.62,0.24,02.Good
5,105.0,0.9941,Often,0,3.3,no,Y,8.1,11.8,0.6,4.8,3.0,10.5,0.42,0.32,02.Good
6,46.0,0.9933,Sometimes,0,7.8,yes,N,7.2,11.8,1.3,12.4,4.7,2.3,0.51,0.01,02.Good
7,105.0,0.9961,Often,0,1.9,yes,N,8.0,9.9,1.6,12.0,4.5,2.1,0.49,0.22,01.Bad
8,16.0,0.9933,Sometimes,0,5.7,no,N,6.7,12.6,1.34,14.0,5.5,3.75,0.52,0.08,01.Bad
9,98.0,0.9894,Regular,0,5.1,no,Y,6.0,11.8,0.4,4.2,4.2,0.8,0.32,0.38,02.Good
10,230.0,0.9949,Very Often,0,4.5,no,Y,5.8,9.8,1.04,6.2,3.6,7.5,0.46,0.31,01.Bad
11,63.0,0.9962,Often,0,5.8,yes,N,7.7,10.5,1.46,8.6,5.0,2.6,0.58,0.25,02.Good
12,114.0,0.9973,Regular,0,8.6,no,N,8.0,9.4,1.32,11.6,3.9,3.2,0.54,0.28,02.Good
13,81.0,0.9904,Often,0,5.8,yes,Y,6.3,12.7,1.18,5.8,4.0,4.7,0.56,0.28,03.Excellent
14,129.0,0.993,Often,0,3.9,no,Y,7.6,10.4,0.86,4.6,3.1,1.6,0.7,0.34,01.Bad
15,100.0,0.9904,Very Often,0,7.9,yes,Y,6.6,11.2,0.88,3.8,3.9,1.1,0.69,0.28,02.Good
16,78.0,0.993,Regular,0,3.7,no,Y,7.1,11.4,0.66,3.8,1.5,3.6,0.78,0.28,02.Good
17,28.0,0.9983,Sometimes,0,2.5,no,N,7.5,9.5,1.56,11.0,5.7,2.0,0.78,0.24,02.Good
18,112.0,0.9919,Regular,0,7.1,no,Y,7.2,11.3,0.96,8.8,3.8,3.4,0.37,0.28,03.Excellent
19,110.0,0.9978,Very Often,0,7.0,no,Y,7.0,9.7,1.16,3.0,3.3,16.4,0.37,0.29,02.Good
20,109.0,0.9901,Very Often,0,0.5,no,N,8.0,12.7,0.98,3.6,1.3,0.9,0.44,0.37,02.Good
21,151.0,0.9913,Very Often,0,6.8,yes,Y,5.7,11.2,0.9,3.0,3.9,3.7,0.27,0.28,02.Good
22,99.0,0.9896,Often,0,3.9,no,Y,6.8,12.4,0.52,6.4,2.9,3.3,0.4,0.23,02.Good
23,31.0,0.9976,Almost_never,0,0.9,yes,N,8.7,9.3,1.94,10.8,4.3,2.5,0.6,0.26,02.Good
24,116.0,0.9940000000000001,Regular,0,4.6,no,Y,6.9,9.4,1.08,5.0,2.1,4.1,0.38,0.3,02.Good
25,153.0,0.9994,Very Often,0,0.3,yes,Y,6.8,9.0,0.78,4.4,4.0,17.5,0.42,0.35,02.Good
26,139.0,0.9912,Very Often,0,0.9,yes,Y,7.7,11.6,0.74,5.4,2.5,3.8,0.38,0.49,02.Good
27,126.0,0.993,Often,0,2.8,no,Y,7.2,11.1,0.54,5.2,2.3,7.1,0.34,0.44,03.Excellent
28,134.0,0.9927,Often,0,0.5,yes,Y,6.8,10.6,0.62,5.0,3.8,4.7,0.38,0.34,02.Good
29,12.0,0.9963,Almost_never,0,2.3,no,N,6.6,12.2,1.58,16.0,6.2,7.8,0.5,0.03,01.Bad
